APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range,Latitude,Longitude
2014034052,2021,7721 ROYER AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.21081400000001,-118.6281044
2014035008,2022,7715 SEDAN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2107344,-118.6298975
2014035012,2023,7745 SEDAN AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2115122,-118.6299204
2014036014,2023,23030 BALTAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.215876,-118.6287357
2014038027,2024,23107 LANARK ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2168545,-118.4692351
2017002054,2019,8817 AZUL CIR,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2297363,-118.6479304
2017022036,2019,8451 VALLEY FLORES DR,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2231995,-118.6501107
2017023010,2019,23930 HOMEZELL DR,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2259073,-118.6478166
2017023011,2019,23940 HOMEZELL DR,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2260179,-118.6484718
2020001028,2021,23460 JONATHAN ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.6324323,-82.7837766
2020005014,2021,23234 INGOMAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2116426,-118.6335438
2020016003,2021,23210 JUSTICE ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,31.8088184,-106.260073
2020017055,2021,23451 STRATHERN ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2153648,-118.6381973
2020020008,2022,8030 BOBBYBOYAR AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2163262,-118.6331894
2020020014,2021,8050 MELBA AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.216709,-118.6339996
2020022014,2024,7943 WOODLAKE AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.214755,-118.6325318
2020022026,2024,23205 INGOMAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2122161,-118.6325411
2020022029,2021,7835 WOODLAKE AVE,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2129322,-118.6325546
2020023014,2023,23257 INGOMAR ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2121429,-118.6344782
2020023023,2023,23324 ARMINTA ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.2130109,-118.636005
2021001003,2021,7528 WOODLAKE AVE,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2069821,-118.6318802
2021003010,2022,23051 COVELLO ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2075779,-118.6293821
2021003011,2023,23046 SATICOY ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2079938,-118.6294642
2021003012,2023,23040 SATICOY ST,LOS ANGELES,91304.0,1,12,12.0,200,1 unit,34.2080119,-118.6292366
2021003013,2023,23032 SATICOY ST,LOS ANGELES,91304.0,2,12,12.0,200,2 units,34.207966,-118.6289171
2021003020,2021,7539 ROYER AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2073109,-118.6279379
2021005015,2024,23044 WINDOM ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2062745,-118.6293278
2021006010,2020,23101 RUNNYMEDE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2057066,-118.4023166
2021007010,2023,7437 QUIMBY AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,41.5098091,-81.6395886
2021009005,2020,22946 RUNNYMEDE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2053295,-118.4025506
2021009006,2024,7422 ROYER AVE,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2049449,-118.6274893
2021009023,2023,22849 VALERIO ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2044849,-118.6252256
2021009030,2024,22925 VALERIO ST,WEST HILLS,91307.0,2,12,12.0,200,2 units,34.2044569,-118.626593
2021009033,2023,22941 VALERIO ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2044681,-118.6271977
2021009034,2023,22947 VALERIO ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2044879,-118.6274134
2021010013,2021,7427 LENA AVE,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2052499,-118.6268693
2021012012,2021,22947 COVELLO ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.2075831,-118.6273291
2021012026,2024,22856 COVELLO ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2070468,-118.625499
2021016005,2023,22829 COHASSET ST,LOS ANGELES,91307.0,1,12,12.0,200,1 unit,34.205983,-118.6244279
2021017005,2021,22829 SHERMAN WAY,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2012643,-118.6246349
2021017024,2022,22844 CANTLAY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2017227,-118.6251269
2021019020,2023,22909 CANTLAY ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2021636,-118.626046
2021020020,2023,22937 WYANDOTTE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2029062,-118.6268848
2021021003,2023,22943 LEADWELL ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2036403,-118.6271326
2022001003,2023,7500 FALLBROOK AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2066515,-118.6231288
2022001007,2021,7446 FALLBROOK AVE,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2059339,-118.6230667
2022001012,2022,22741 RUNNYMEDE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2057066,-118.4023166
2022001013,2020,22735 RUNNYMEDE ST,LOS ANGELES,91307.0,2,12,12.0,200,2 units,34.2057066,-118.4023166
