APN,RSO Year,Address,City,Zip,RSO Units,Prior Council District,Council District,Land Use Code,Unit Range
6040037013,2023,322 W 91ST PL,LOS ANGELES,90003,1,8,8,200,1 unit
6040037015,2024,320 W 91ST PL,LOS ANGELES,90003,2,8,8,200,2 units
6040037020,2019,9137 S BROADWAY,LOS ANGELES,90003,6,8,8,500,5-10 units
6040038009,2019,327 W 93RD ST,LOS ANGELES,90003,2,8,8,200,2 units
6040038011,2019,317 W 93RD ST,LOS ANGELES,90003,2,8,8,200,2 units
6040038017,2019,9225 S BROADWAY,LOS ANGELES,90003,10,8,8,1210,5-10 units
6040038022,2019,338 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040039010,2019,230 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040039012,2019,222 W 92ND ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6040039013,2019,216 W 92ND ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6040039015,2019,208 W 92ND ST,LOS ANGELES,90003,3,8,8,300,3-4 units
6040039020,2019,239 W 93RD ST,LOS ANGELES,90003,2,8,8,200,2 units
6040039024,2019,227 W 93RD ST,LOS ANGELES,90003,2,8,8,200,2 units
6040039029,2019,207 W 93RD ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040005,2019,144 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040009,2019,128 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040010,2019,124 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040011,2019,120 W 92ND ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040012,2019,116 W 92ND ST,LOS ANGELES,90003,2,8,8,300,2 units
6040040013,2019,9207 S MAIN ST,LOS ANGELES,90003,4,8,8,1720,3-4 units
6040040015,2019,9215 S MAIN ST,LOS ANGELES,90003,2,8,8,200,2 units
6040040018,2019,115 W 93RD ST,LOS ANGELES,90003,4,8,8,400,3-4 units
6040040019,2019,119 W 93RD ST,LOS ANGELES,90003,3,8,8,300,3-4 units
