APN,Application Received,Application Year,Council District,Address,City,Zip,Units Withdrawn,Replacement Unit,Latitude,Longitude
2266003011,9/5/2014,2014,4,14229 W DICKENS ST,SHERMAN OAKS ,91423.0,8.0,,34.1491299,-118.4430789
2266003012,9/5/2014,2014,4,14225 W DICKENS ST,SHERMAN OAKS ,91423.0,8.0,,34.1491082,-118.4429572
2266006019,9/19/2007,2007,4,14422 W DICKENS ST,SHERMAN OAKS ,91423.0,3.0,9.0,34.149378,-118.446987
2266006080,9/19/2007,2007,4,14426 W DICKENS ST,SHERMAN OAKS ,91423.0,2.0,0.0,34.14938679999999,-118.4471888
2266019014,6/25/2019,2019,4,4243 N MAMMOTH AVE,LOS ANGELES ,91423.0,3.0,4.0,34.1477592,-118.4330935
2269018080,4/2/2015,2015,4,14031 W RIVERSIDE DR,SHERMAN OAKS ,91423.0,2.0,5.0,34.1544076,-118.3258335
2271005006,5/14/2014,2014,4,4521 N MATILIJA AVE,SHERMAN OAKS ,91423.0,2.0,,34.1685752,-118.4334361
2276010020,3/6/2017,2017,4,15035 W GREENLEAF ST,SHERMAN OAKS ,91403.0,2.0,,34.1506169,-118.4612554
2276025017,3/12/2019,2019,4,15007 W VALLEY VISTA BLVD,LOS ANGELES ,91403.0,2.0,,34.1473557,-118.460689
2276041017,2/12/2018,2018,4,4409 N SAUGUS AVE,SHERMAN OAKS ,91403.0,4.0,,34.1501775,-118.4664921
2276042001,3/28/2018,2018,4,15300 W SUTTON ST,LOS ANGELES ,91403.0,5.0,,34.149875,-118.467862
2283023002,8/13/2014,2014,4,4554 N SHERMAN OAKS AVE,Los Angeles ,91403.0,1.0,,34.1541973,-118.4689413
2310021041,2/12/2018,2018,6,11946 W STRATHERN ST,LOS ANGELES ,91605.0,2.0,,34.2156554,-118.4229551
2314007017,2/19/2020,2020,6,11063 W ARMINTA ST,SUN VALLEY ,91352.0,3.0,,34.2134255,-118.4219964
2314008041,8/14/2018,2018,6,11050 W ARMINTA ST,LOS ANGELES ,91352.0,18.0,110.0,34.2134254,-118.4219871
2315025045,11/7/2022,2022,2,7321 N VINELAND AVE,LOS ANGELES ,91352.0,3.0,,34.2782615,-118.5702845
2315025046,2/28/2023,2023,2,7315 N VINELAND AVE,LOS ANGELES ,91352.0,2.0,,34.2782615,-118.5702845
2316020005,5/1/2019,2019,2,7327 N TUJUNGA AVE,LOS ANGELES ,91605.0,2.0,,34.2334089,-118.3818787
2317001010,6/3/2013,2013,6,12045 W KESWICK ST,Los Angeles ,91605.0,3.0,32.0,34.2105225,-118.3961529
2317017002,1/29/2018,2018,2,7401 N LANKERSHIM BLVD,NORTH HOLLYWOOD ,91605.0,3.0,108.0,34.2049402,-118.3883429
2320015017,1/18/2024,2024,2,6723 N BECK AVE,LOS ANGELES ,91606.0,2.0,,34.192904,-118.3836625
2320018013,3/31/2017,2017,2,6707 N KRAFT AVE,LOS ANGELES ,91606.0,2.0,,34.1924796,-118.3803533
2320019014,9/15/2023,2023,2,11405 W ARCHWOOD ST,LOS ANGELES ,91606.0,3.0,,34.1923452,-118.3793975
2320025021,11/27/2023,2023,2,11606 W ARCHWOOD ST,LOS ANGELES ,91606.0,3.0,,34.1920241,-118.3847498
2321011012,11/5/2018,2018,2,6905 N BEN AVE,LOS ANGELES ,91605.0,2.0,,34.196014,-118.3945712
2321012019,1/11/2024,2024,2,6940 N BEN AVE,LOS ANGELES ,91605.0,3.0,,34.197024,-118.3941215
2321014012,10/13/2021,2021,2,6901 N HINDS AVE,LOS ANGELES ,91605.0,4.0,5.0,34.196008,-118.3912757
2321015029,6/2/2020,2020,2,11808 W HART ST,LOS ANGELES ,91605.0,1.0,,34.197389,-118.3903901
2321019901,12/8/2014,2014,2,11759 W VANOWEN ST,LOS ANGELES ,91605.0,11.0,,34.1941487,-118.3898949
2321020907,10/23/2012,2012,2,6868 N HINDS AVE,Los Angeles ,91605.0,4.0,,34.19572,-118.39092
2321020908,4/12/2023,2023,2,6852 N HINDS AVE,LOS ANGELES ,91605.0,5.0,,34.1955408,-118.3909125
2321020909,5/18/2022,2022,2,6853 N MORELLA AVE,LOS ANGELES ,91605.0,3.0,,34.19543,-118.39014
2321020910,5/11/2022,2022,2,6859 N MORELLA AVE,NORTH HOLLYWOOD ,91605.0,5.0,,34.1956,-118.39014
2321024001,7/19/2023,2023,2,6857 N BEN AVE,LOS ANGELES ,91605.0,2.0,,34.1956346,-118.3946992
2322015030,4/27/2022,2022,2,6722 N SIMPSON AVE,NORTH HOLLYWOOD ,91606.0,1.0,,34.1928287,-118.3887411
2322017024,10/10/2023,2023,2,11818 W HAMLIN ST,LOS ANGELES ,91606.0,2.0,,34.1885335,-118.4027575
2324029011,12/20/2016,2016,2,12555 W VANOWEN ST,LOS ANGELES ,91605.0,4.0,13.0,34.1941286,-118.4070683
2324029019,1/22/2020,2020,2,6825 N WHITSETT AVE,LOS ANGELES ,91605.0,3.0,,34.1947118,-118.4056956
2328003006,3/10/2022,2022,2,13620 W LEADWELL ST,VAN NUYS ,91405.0,2.0,,34.2036689,-118.429787
2328003007,2/23/2018,2018,2,13612 W LEADWELL ST,LOS ANGELES ,91405.0,2.0,4.0,34.2036919,-118.4295889
2328033043,4/25/2018,2018,2,7040 N WOODMAN AVE,LOS ANGELES ,91405.0,10.0,,34.2116193,-118.4311424
2329002009,10/6/2020,2020,2,6552 N WOODMAN AVE,LOS ANGELES ,91401.0,3.0,,34.2116193,-118.4311424
2329002010,10/6/2020,2020,2,6558 N WOODMAN AVE,LOS ANGELES ,91401.0,3.0,,34.2116193,-118.4311424
2329026018,7/23/2020,2020,2,6603 N FULTON AVE,LOS ANGELES ,91401.0,2.0,,34.190504,-118.422839
2332021018,7/23/2018,2018,2,12609 W OXNARD ST,LOS ANGELES ,91606.0,3.0,,34.1803252,-118.5058382
2333010017,7/24/2017,2017,2,6144 N WHITSETT AVE,LOS ANGELES ,91606.0,5.0,,34.1825922,-118.4050034
2333011018,5/5/2015,2015,2,6011 N RHODES AVE,LOS ANGELES ,91606.0,1.0,17.0,34.1796942,-118.4033105
2334014043,1/19/2023,2023,2,6028 N COLFAX AVE,NORTH HOLLYWOOD ,91606.0,4.0,,34.1802565,-118.3875836
2334014050,6/16/2023,2023,2,11675 W OXNARD ST,LOS ANGELES ,91606.0,2.0,,34.1803252,-118.5058382
2334014054,7/20/2016,2016,2,6047 N HAZELHURST PL,LOS ANGELES ,91606.0,2.0,,34.1806667,-118.3865401
2335010018,12/2/2021,2021,2,6421 N TROOST AVE,NORTH HOLLYWOOD ,91606.0,2.0,,34.1874528,-118.3867666
2335025010,4/27/2022,2022,2,6336 N BECK AVE,NORTH HOLLYWOOD ,91606.0,2.0,,34.1859172,-118.3829563
2335032014,4/4/2018,2018,2,11687 W ERWIN ST,NORTH HOLLYWOOD ,91606.0,4.0,,34.1829925,-118.3935511
2335032015,4/4/2018,2018,2,11683 W ERWIN ST,NORTH HOLLYWOOD ,91606.0,4.0,,34.1829925,-118.3935511
2335032017,5/3/2017,2017,2,11671 W ERWIN ST,LOS ANGELES ,91606.0,2.0,10.0,34.1829925,-118.3935511
2336016001,12/17/2015,2015,2,11324 W VICTORY BLVD,LOS ANGELES ,91606.0,2.0,,34.1848901,-118.3593454
2336016003,12/17/2015,2015,2,11312 W VICTORY BLVD,LOS ANGELES ,91606.0,4.0,,34.1848901,-118.3593454
